=== section Movies (movie): 374 collection(s)
--- titleSort of every collection carrying a non-empty one
    Caballeros Collection                        'Caballeros Collection'
    Captain America Collection                   'Captain America Collection'
    Captain Marvel Collection                    'Captain Marvel Collection'
    Captain Underpants Collection                'Captain Underpants Collection'
    Cars Collection                              'Cars Collection'
    Cash Out Collection                          'Cash Out Collection'
    Chicken Run Collection                       'Chicken Run Collection'
    Chinese Audio                                'Chinese Audio'
    The Christmas Chronicles Collection          'Christmas Chronicles Collection'
    The Chronicles of Narnia Collection          'Chronicles of Narnia Collection'
    The Chronicles of Riddick Collection         'Chronicles of Riddick Collection'
    Cinderella Collection                        'Cinderella Collection'
    Cinderella Story Collection                  'Cinderella Story Collection'
    Clint Eastwood's Iwo Jima Collection         "Clint Eastwood's Iwo Jima Collection"
    Code 8 Collection                            'Code 8 Collection'
    Comedy Movies                                'Comedy Movies'
    The Conjuring Collection                     'Conjuring Collection'
    Conjuring Universe                           'Conjuring Universe'
    Creed Collection                             'Creed Collection'
    Crime Movies                                 'Crime Movies'
    Czech Audio                                  'Czech Audio'
    Danish Audio                                 'Danish Audio'
    The Dark Knight Collection                   'Dark Knight Collection'
    DC Universe                                  'DC Universe'
    Deadpool Collection                          'Deadpool Collection'
    Deleted Soon                                 'Deleted Soon'
    The Delta Force Collection                   'Delta Force Collection'
    Descendants Collection                       'Descendants Collection'
    Despicable Me Collection                     'Despicable Me Collection'
    Diary of a Wimpy Kid (Animated) Collection   'Diary of a Wimpy Kid (Animated) Collection'
    Die Hard Collection                          'Die Hard Collection'
    Doctor Strange Collection                    'Doctor Strange Collection'
    Documentary Movies                           'Documentary Movies'
    Doom Collection                              'Doom Collection'
    Downton Abbey (Films) Collection             'Downton Abbey (Films) Collection'
    Dragons: Rescue Riders Collection            'Dragons: Rescue Riders Collection'
    Drama Movies                                 'Drama Movies'
    The Dry Collection                           'Dry Collection'
    Dune Collection                              'Dune Collection'
    Dutch Audio                                  'Dutch Audio'
    Eastrail 177 Trilogy                         'Eastrail 177 Trilogy'
    The Emperor's New Groove Collection          "Emperor's New Groove Collection"
    English Audio                                'English Audio'
    The Equalizer Collection                     'Equalizer Collection'
    Escape From ... Collection                   'Escape From ... Collection'
    Evil Dead Collection                         'Evil Dead Collection'
    The Exorcist Collection                      'Exorcist Collection'
    The Expendables Collection                   'Expendables Collection'
    Extraction Collection                        'Extraction Collection'
    Family Movies                                'Family Movies'
    Fantasia Collection                          'Fantasia Collection'
    Fantastic Beasts Collection                  'Fantastic Beasts Collection'
    Fantasy Movies                               'Fantasy Movies'
    Fast & Furious                               'Fast & Furious'
    The Fast and the Furious Collection          'Fast and the Furious Collection'
    Final Destination Collection                 'Final Destination Collection'
    Finding Nemo Collection                      'Finding Nemo Collection'
    Finnish Audio                                'Finnish Audio'
    Five Nights at Freddy's Collection           "Five Nights at Freddy's Collection"
    The Fly (1986) Collection                    'Fly (1986) Collection'
    Fortress Collection                          'Fortress Collection'
    Frankenstein (Universal) Collection          'Frankenstein (Universal) Collection'
    Freaky Friday Collection                     'Freaky Friday Collection'
    French Audio                                 'French Audio'
    Frozen Collection                            'Frozen Collection'
    Gabriel's Inferno Collection                 "Gabriel's Inferno Collection"
    German Audio                                 'German Audio'
    Ghostbusters Collection                      'Ghostbusters Collection'
    Gladiator Collection                         'Gladiator Collection'
    The Godfather Collection                     'Godfather Collection'
    Godzilla Collection                          'Godzilla Collection'
    Godzilla Minus Collection                    'Godzilla Minus Collection'
    Greek Audio                                  'Greek Audio'
    Greenland Collection                         'Greenland Collection'
    Guardians of the Galaxy Collection           'Guardians of the Galaxy Collection'
    Halloween Collection                         'Halloween Collection'
    The Hangover Collection                      'Hangover Collection'
    The Hannibal Lecter Collection               'Hannibal Lecter Collection'
    Hard Target Collection                       'Hard Target Collection'
    Harry Potter Collection                      'Harry Potter Collection'
    Hebrew Audio                                 'Hebrew Audio'
    Hellboy Collection                           'Hellboy Collection'
    Hellraiser Collection                        'Hellraiser Collection'
    Hercule Poirot (Kenneth Branagh) Collection  'Hercule Poirot (Kenneth Branagh) Collection'
    Highlander Collection                        'Highlander Collection'
    Hindi Audio                                  'Hindi Audio'
    History Movies                               'History Movies'
    Hitman Collection                            'Hitman Collection'
    The Hobbit Collection                        'Hobbit Collection'
    Hocus Pocus Collection                       'Hocus Pocus Collection'
    Home Alone Collection                        'Home Alone Collection'
    Homeward Bound Collection                    'Homeward Bound Collection'
    Horror Movies                                'Horror Movies'
    Hotel Transylvania Collection                'Hotel Transylvania Collection'
    How to Train Your Dragon Collection          'How to Train Your Dragon Collection'
    Hungarian Audio                              'Hungarian Audio'
    The Hunger Games Collection                  'Hunger Games Collection'
    Ice Age Collection                           'Ice Age Collection'
    Ice Road Collection                          'Ice Road Collection'
    Icelandic Audio                              'Icelandic Audio'
    The Incredibles Collection                   'Incredibles Collection'
    Indiana Jones Collection                     'Indiana Jones Collection'
    Indonesian Audio                             'Indonesian Audio'
    Inside Man Collection                        'Inside Man Collection'
    Inside Out Collection                        'Inside Out Collection'
    Iron Man Collection                          'Iron Man Collection'
    Iron Sky Collection                          'Iron Sky Collection'
    It Collection                                'It Collection'
    Italian Audio                                'Italian Audio'
    Jack Reacher Collection                      'Jack Reacher Collection'
    James Bond Collection                        'James Bond Collection'
    Japanese Audio                               'Japanese Audio'
    Jarhead Collection                           'Jarhead Collection'
    Jaws Collection                              'Jaws Collection'
    Jay and Silent Bob Collection                'Jay and Silent Bob Collection'
    John Wick Collection                         'John Wick Collection'
    Joker Collection                             'Joker Collection'
    Jumanji Collection                           'Jumanji Collection'
    Jungle Jack Collection                       'Jungle Jack Collection'
    Jurassic Park Collection                     'Jurassic Park Collection'
    Justice League (DCAMU) Collection            'Justice League (DCAMU) Collection'
    Justice League (Tomorrowverse) Collection    'Justice League (Tomorrowverse) Collection'
    Justice League x RWBY Collection             'Justice League x RWBY Collection'
    The Karate Kid Collection                    'Karate Kid Collection'
    Kill 'em All Collection                      "Kill 'em All Collection"
    Kingsman Collection                          'Kingsman Collection'
    Knives Out Collection                        'Knives Out Collection'
    Korean Audio                                 'Korean Audio'
    Kung Fu Panda Collection                     'Kung Fu Panda Collection'
    Lady and the Tramp Collection                'Lady and the Tramp Collection'
    The Land Before Time Collection              'Land Before Time Collection'
    Latin Audio                                  'Latin Audio'
    Lego Disney Princess Collection              'Lego Disney Princess Collection'
    LEGO Marvel Super Heroes Collection          'LEGO Marvel Super Heroes Collection'
    The Lego Movie Collection                    'Lego Movie Collection'
    Lilo & Stitch (Animated) Collection          'Lilo & Stitch (Animated) Collection'
    The Lion King (Reboot) Collection            'Lion King (Reboot) Collection'
    The Lion King Collection                     'Lion King Collection'
    The Little Mermaid Collection                'Little Mermaid Collection'
    The Lord of the Rings Collection             'Lord of the Rings Collection'
    M3GAN Collection                             'M3GAN Collection'
    Mad Max Collection                           'Mad Max Collection'
    Madagascar Collection                        'Madagascar Collection'
    Madea Collection                             'Madea Collection'
    Magic Mike Collection                        'Magic Mike Collection'
    Maleficent Collection                        'Maleficent Collection'
    Man of Steel Collection                      'Man of Steel Collection'
    Marvel Cinematic Universe                    'Marvel Cinematic Universe'
    Marvel Rising Collection                     'Marvel Rising Collection'
    The Matrix Collection                        'Matrix Collection'
    Maya the Bee Collection                      'Maya the Bee Collection'
    Mayan Audio                                  'Mayan Audio'
    The Maze Runner Collection                   'Maze Runner Collection'
    Mean Girls Collection                        'Mean Girls Collection'
    The Meg Collection                           'Meg Collection'
    Men in Black Collection                      'Men in Black Collection'
    Millennium Collection                        'Millennium Collection'
    Minions Collection                           'Minions Collection'
    Mission: Impossible Collection               'Mission: Impossible Collection'
    Moana Collection                             'Moana Collection'
    Monster High (Live-Action) Collection        'Monster High (Live-Action) Collection'
    Monsters, Inc. Collection                    'Monsters, Inc. Collection'
    Mortal Kombat (Reboot) Collection            'Mortal Kombat (Reboot) Collection'
    Mortal Kombat Legends Collection             'Mortal Kombat Legends Collection'
    Most Watched Movies                          'Most Watched Movies'
    Mulan Collection                             'Mulan Collection'
    Music Movies                                 'Music Movies'
    Mystery Movies                               'Mystery Movies'
    The Naked Gun Collection                     'Naked Gun Collection'
    National Lampoon's Vacation Collection       "National Lampoon's Vacation Collection"
    A Nightmare on Elm Street Collection         'Nightmare on Elm Street Collection'
    The Ninja Trilogy                            'Ninja Trilogy'
    Nobody Collection                            'Nobody Collection'
    Norwegian Audio                              'Norwegian Audio'
    Norwegian Bokmål Audio                       'Norwegian Bokmal Audio'
    Now You See Me Collection                    'Now You See Me Collection'
    The Nun Collection                           'Nun Collection'
    The Old Guard Collection                     'Old Guard Collection'
    The Omen Collection                          'Omen Collection'
    One Shot Collection                          'One Shot Collection'
    Orphan Collection                            'Orphan Collection'
    Other Audio                                  'Other Audio'
    Paddington Collection                        'Paddington Collection'
    PAW Patrol (Theatrical) Collection           'PAW Patrol (Theatrical) Collection'
    Pet Sematary (Reboot) Collection             'Pet Sematary (Reboot) Collection'
    Phineas and Ferb Collection                  'Phineas and Ferb Collection'
    Pirates of the Caribbean Collection          'Pirates of the Caribbean Collection'
    Planes Collection                            'Planes Collection'
    Planet of the Apes (Reboot) Collection       'Planet of the Apes (Reboot) Collection'
    Pocahontas Collection                        'Pocahontas Collection'
    Pokémon Collection                           'Pokemon Collection'
    Police Academy Collection                    'Police Academy Collection'
    Polish Audio                                 'Polish Audio'
    Portuguese Audio                             'Portuguese Audio'
    Predator Collection                          'Predator Collection'
    Prometheus Collection                        'Prometheus Collection'
    The Punisher Collection                      'Punisher Collection'
    The Purge Collection                         'Purge Collection'
    Puss in Boots Collection                     'Puss in Boots Collection'
    A Quiet Place Collection                     'Quiet Place Collection'
    R.I.P.D. Collection                          'R.I.P.D. Collection'
    The Raid Collection                          'Raid Collection'
    Rebel Moon Collection                        'Rebel Moon Collection'
    Return of the Living Dead Collection         'Return of the Living Dead Collection'
    Ricky Rapper Collection                      'Ricky Rapper Collection'
    Rio Collection                               'Rio Collection'
    RoboCop Collection                           'RoboCop Collection'
    Rocky Collection                             'Rocky Collection'
    Rölli Collection                             'Rolli Collection'
    Romance Movies                               'Romance Movies'
    Romanian Audio                               'Romanian Audio'
    Rush Hour Collection                         'Rush Hour Collection'
    Russian Audio                                'Russian Audio'
    Sammy's Adventure Collection                 "Sammy's Adventure Collection"
    Save the Last Dance Collection               'Save the Last Dance Collection'
    Saw Collection                               'Saw Collection'
    Science Fiction Movies                       'Science Fiction Movies'
    Scream Collection                            'Scream Collection'
    Shazam! Collection                           'Shazam! Collection'
    Sherlock Holmes Collection                   'Sherlock Holmes Collection'
    The Shining Collection                       'Shining Collection'
    Shrek Collection                             'Shrek Collection'
    Sing Collection                              'Sing Collection'
    Slovak Audio                                 'Slovak Audio'
    Smile Collection                             'Smile Collection'
    The Smurfs (Theatrical) Collection           'Smurfs (Theatrical) Collection'
    Sniper Collection                            'Sniper Collection'
    Snoopy Presents Collection                   'Snoopy Presents Collection'
    Sonic the Hedgehog Collection                'Sonic the Hedgehog Collection'
    The Space Odyssey Series                     'Space Odyssey Series'
    Spanish Audio                                'Spanish Audio'
    Spider-Man (MCU) Collection                  'Spider-Man (MCU) Collection'
    Spider-Man Collection                        'Spider-Man Collection'
    Spider-Man: Spider-Verse Collection          'Spider-Man: Spider-Verse Collection'
    Star Trek                                    'Star Trek'
    Star Trek: Alternate Reality Collection      'Star Trek: Alternate Reality Collection'
    Star Trek: The Next Generation Collection    'Star Trek: The Next Generation Collection'
    Star Wars Collection                         'Star Wars Collection'
    Star Wars Universe                           'Star Wars Universe'
    Stargate Collection                          'Stargate Collection'
    Starship Troopers Collection                 'Starship Troopers Collection'
    The Sting Collection                         'Sting Collection'
    Strawberry Shortcake: Berry in the Big City Collection 'Strawberry Shortcake: Berry in the Big City Collection'
    The Substitute Collection                    'Substitute Collection'
    Suicide Squad Collection                     'Suicide Squad Collection'
    Superman Collection                          'Superman Collection'
    The Swan Princess Collection                 'Swan Princess Collection'
    Swedish Audio                                'Swedish Audio'
    Taken Collection                             'Taken Collection'
    Tamil Audio                                  'Tamil Audio'
    Tangled Collection                           'Tangled Collection'
    Tarzan (Animation) Collection                'Tarzan (Animation) Collection'
    Telugu Audio                                 'Telugu Audio'
    The Terminator Collection                    'Terminator Collection'
    Terrifier Collection                         'Terrifier Collection'
    Thai Audio                                   'Thai Audio'
    The Thing Collection                         'Thing Collection'
    Thor Collection                              'Thor Collection'
    Thriller Movies                              'Thriller Movies'
    TMDb Popular                                 'TMDb Popular'
    TMDb Top Rated                               'TMDb Top Rated'
    TMDb Trending                                'TMDb Trending'
    TMZ Presents: The Downfall of Diddy Collection 'TMZ Presents: The Downfall of Diddy Collection'
    Top Gear Specials Collection                 'Top Gear Specials Collection'
    Top Gun Collection                           'Top Gun Collection'
    Toy Story Collection                         'Toy Story Collection'
    The Trolls Collection                        'Trolls Collection'
    Turkish Audio                                'Turkish Audio'
    TV Movie Movies                              'TV Movie Movies'
    Twister Collection                           'Twister Collection'
    Ukrainian Audio                              'Ukrainian Audio'
    The Ultimate Collection                      'Ultimate Collection'
    Unbroken Collection                          'Unbroken Collection'
    Undisputed Collection                        'Undisputed Collection'
    V/H/S Collection                             'V/H/S Collection'
    Vacation Friends Collection                  'Vacation Friends Collection'
    Venom Collection                             'Venom Collection'
    War Movies                                   'War Movies'
    Watchmen Collection                          'Watchmen Collection'
    Western Movies                               'Western Movies'
    The Wolverine Collection                     'Wolverine Collection'
    Wonder Collection                            'Wonder Collection'
    Wonder Woman Collection                      'Wonder Woman Collection'
    Woody Woodpecker Collection                  'Woody Woodpecker Collection'
    Wreck-It Ralph Collection                    'Wreck-It Ralph Collection'
    Wunder Filmreihe                             'Wunder Filmreihe'
    X Collection                                 'X Collection'
    X-Men Collection                             'X-Men Collection'
    X-Men Universe                               'X-Men Universe'
    Z-O-M-B-I-E-S Collection                     'Z-O-M-B-I-E-S Collection'
    Zootopia Collection                          'Zootopia Collection'
--- tab ordering
    default listing == sorted by title      : False
    default listing == sorted by titleSort  : False
    the two candidate orders differ         : True
    first 5 as listed: IMDb Lowest Rated, IMDb Popular, IMDb Top 250, Ratings Collections, Not Rated Movies
    first 5 by title : 101 Dalmatians (Animated) Collection, 28 Days/Weeks/Years Later Collection, 300 Collection, A Nightmare on Elm Street Collection, A Quiet Place Collection
    first 5 by sort  : IMDb Lowest Rated, IMDb Popular, IMDb Top 250, Ratings Collections, Age 1+ Movies
    prefix blocks, in listed order          : 020, 110, 130, zzz
    each block is contiguous                : True
    blocks ascend, unprefixed last          : True
    adjacent inversions under title         : 53 of 373
    adjacent inversions under titleSort      : 2 of 373
=== section TV Shows (show): 51 collection(s)
--- titleSort of every collection carrying a non-empty one
    IMDb Popular                                 '!020_IMDb Popular'
    IMDb Top 250                                 '!020_IMDb Top 250'
    Ratings Collections                          '!110_!Ratings Collections'
    Not Rated Shows                              '!110_~Not Rated Shows'
    Age 2+ Shows                                 '!110_02_Age 2+ Shows'
    Age 3+ Shows                                 '!110_03_Age 3+ Shows'
    Age 5+ Shows                                 '!110_05_Age 5+ Shows'
    Age 6+ Shows                                 '!110_06_Age 6+ Shows'
    Age 7+ Shows                                 '!110_07_Age 7+ Shows'
    Age 8+ Shows                                 '!110_08_Age 8+ Shows'
    Age 9+ Shows                                 '!110_09_Age 9+ Shows'
    Age 10+ Shows                                '!110_10_Age 10+ Shows'
    Age 11+ Shows                                '!110_11_Age 11+ Shows'
    Age 13+ Shows                                '!110_13_Age 13+ Shows'
    Age 14+ Shows                                '!110_14_Age 14+ Shows'
    Age 15+ Shows                                '!110_15_Age 15+ Shows'
    Age 16+ Shows                                '!110_16_Age 16+ Shows'
    Age 17+ Shows                                '!110_17_Age 17+ Shows'
    Age 18+ Shows                                '!110_18_Age 18+ Shows'
    Action Shows                                 'Action Shows'
    Adventure Shows                              'Adventure Shows'
    Age 12+ Shows                                'Age 12+ Shows'
    Animation Shows                              'Animation Shows'
    Comedy Shows                                 'Comedy Shows'
    Crime Shows                                  'Crime Shows'
    Danish Audio                                 'Danish Audio'
    DC Universe                                  'DC Universe'
    Deleted Soon                                 'Deleted Soon'
    Documentary Shows                            'Documentary Shows'
    Drama Shows                                  'Drama Shows'
    Family Shows                                 'Family Shows'
    Fantasy Shows                                'Fantasy Shows'
    Finnish Audio                                'Finnish Audio'
    French Audio                                 'French Audio'
    German Audio                                 'German Audio'
    Hindi Audio                                  'Hindi Audio'
    Kids Shows                                   'Kids Shows'
    Marvel Cinematic Universe                    'Marvel Cinematic Universe'
    Most Watched Shows                           'Most Watched Shows'
    Mystery Shows                                'Mystery Shows'
    Politics Shows                               'Politics Shows'
    Reality Shows                                'Reality Shows'
    Science Fiction Shows                        'Science Fiction Shows'
    Swedish Audio                                'Swedish Audio'
    Talk Show Shows                              'Talk Show Shows'
    TMDb Popular                                 'TMDb Popular'
    TMDb Top Rated                               'TMDb Top Rated'
    TMDb Trending                                'TMDb Trending'
    War Shows                                    'War Shows'
    Western Shows                                'Western Shows'
    X-Men Universe                               'X-Men Universe'
--- tab ordering
    default listing == sorted by title      : False
    default listing == sorted by titleSort  : False
    the two candidate orders differ         : True
    first 5 as listed: IMDb Popular, IMDb Top 250, Ratings Collections, Not Rated Shows, Age 2+ Shows
    first 5 by title : Action Shows, Adventure Shows, Age 10+ Shows, Age 11+ Shows, Age 12+ Shows
    first 5 by sort  : IMDb Popular, IMDb Top 250, Ratings Collections, Age 2+ Shows, Age 3+ Shows
    prefix blocks, in listed order          : 020, 110, zzz
    each block is contiguous                : True
    blocks ascend, unprefixed last          : True
    adjacent inversions under title         : 4 of 50
    adjacent inversions under titleSort      : 1 of 50
=== section DVR (movie): 0 collection(s)
--- titleSort of every collection carrying a non-empty one
--- tab ordering
    default listing == sorted by title      : True
    default listing == sorted by titleSort  : True
    the two candidate orders differ         : False
    first 5 as listed: 
    first 5 by title : 
    first 5 by sort  : 
    prefix blocks, in listed order          : 
    each block is contiguous                : True
    blocks ascend, unprefixed last          : True
    adjacent inversions under title         : 0 of 0
    adjacent inversions under titleSort      : 0 of 0
=== Default-Images separators/orig
    chart              200
    award              200
    content_rating     200
    content            404
    location           404
    media              404
    people             404
    production         404
    time               404
    collectionless     200
    genre              200
    decade             200
    year               200
    studio             200
    country            200
    franchise          200
